,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd,gRodon.d.mean,gRodon.d.sd
220410_Pyro_water_29_16S.16S.exp.,2.114299381141723,1.1176926106878502,1.7497384914455307,1.7411808936359792,3856.431184278714,1158.8737213616944,4524749.810369177,1411936.1524309386,45.73154610662298,13.311731515437858,0.3168263215803776,0.16372652533071447,0.344490050373352,0.19210546542763998,3.5871206107414126,2.174735130490377
220410_Pyro_water_62_16S.16S.exp.,2.501679349032083,0.8752116345894332,1.5109374146526322,1.3148703400232933,3460.9647248507913,1252.398714612685,4125743.2488949453,1686826.9005552826,45.60425230287096,9.794452523818817,0.30264281447435043,0.1395764244485218,0.5796702420184242,0.24365481852266682,3.000016775429573,1.761016727717219
220410_Pyro_leaf_137_16S.16S.exp.,1.8297164330407976,1.0808681123683037,1.2390204214023888,0.8138648935762178,3942.0307461817374,1532.2287960775477,4805863.408374756,2116601.0597482575,50.35669021103095,12.680379452707504,0.3169274946926836,0.16320588715700554,0.45436972042224405,0.25967760600896855,5.1902839351342775,4.042126951979234
220410_Pyro_water_84_16S.16S.exp.,3.1119250882915614,0.9583982510820183,1.4827859929284752,1.9027595576439802,3505.6957279705102,886.0196637488039,4047852.559723795,1214626.8366000042,47.39564509726476,12.162635506428046,0.3297200997235979,0.10753947762837346,0.41772645252835894,0.18634850142616674,2.81316630077747,1.7935473281019267
220410_Pyro_water_07_16S.16S.exp.,3.062702076054367,1.5131598705364373,1.4687208422597313,1.1656632260204614,3222.597051855998,1078.774566389414,3681651.4592168033,1172305.7025927363,46.239712082704465,13.747310665743631,0.3428093006971408,0.107457503473284,0.40252897794117154,0.17991893973588743,2.398425664913685,2.2258356467052267
220410_Pyro_leaf_169_16S.16S.exp.,2.1752720902409726,1.2133121292272053,1.3274803689044192,0.8246219494397229,3638.6671136133773,1086.7783683099806,4246510.341091633,1351321.4486358024,57.87939265511109,10.224128594705864,0.3504122329509136,0.11300923346176667,0.4922541601100237,0.18684161339212432,5.681545844982705,3.845950835422793
220410_Pyro_water_75_16S.16S.exp.,2.550742709628901,0.9438630441452805,1.064326741696685,0.4904893454563734,2879.992211450364,1012.2887573576625,3263332.532619961,1432485.3765860938,40.71254606863622,8.933197736318888,0.30216978537305356,0.09679204597658311,0.4224968084325188,0.2034789712496026,2.657588902531783,1.492076649254217
220410_Pyro_water_33_16S.16S.exp.,2.452335036957508,1.2337147972403835,2.09188846309745,1.3370598942521748,3540.026449729275,1479.598574035196,4049847.437367666,1783076.0645185825,53.49636615422992,11.400628502922046,0.39309965280451625,0.09500195287432092,0.4540343671641652,0.13980895774337235,3.919062951831058,3.2371066152220265
220410_Pyro_water_23_16S.16S.exp.,2.545439098215511,1.0593342447573155,1.4579643369556732,1.1026427020334213,3984.263068361811,1186.2568635076886,4720579.061632648,1506334.673490364,48.43233532823062,11.08909948933519,0.305627506265714,0.15251411157783712,0.5312869135155576,0.23960942253014772,2.787033181905122,1.8284590367618172
220410_Pyro_leaf_122_16S.16S.exp.,3.4693798688859347,1.9219223382945887,1.3250705824709976,0.8016448358604239,3543.456960299236,917.0570287004185,4157248.4449235336,1147256.1010681805,48.68336264086312,13.004292760701437,0.33890595621688174,0.11084501935085156,0.43552336321147994,0.19061629307867253,5.067502703053263,4.576609466888212
220410_Pyro_water_47_16S.16S.exp.,2.246912652719382,0.8335997184590246,1.3388157896545045,0.9233352609853145,3371.6553971438457,1299.8225648346186,3926629.850653615,1787493.5941270192,47.41998394365627,8.77061298798328,0.33928658535576245,0.13267254563132247,0.5718791260281517,0.19312359782242267,4.0444569525964384,2.6882987753635987
220410_Pyro_water_82_16S.16S.exp.,1.9354008241391243,1.0355535960305562,1.1652603713171237,1.0524087797431432,2346.084186015045,1025.4315658624641,2573730.6077078544,1347327.7645929079,44.20464318199965,8.59366890820113,0.387310880065716,0.12503378292908096,0.44568765079084843,0.15715943743822738,3.220770861942709,2.4675366290175895
220410_Pyro_leaf_129_16S.16S.exp.,1.7786258381959947,0.9331728128470899,1.3850012904377365,1.0512202309651617,3832.915489035891,1727.8284350673146,4695045.086622831,2314572.9289966747,50.06476244499062,14.47400541670993,0.3412188939682671,0.18593190472831966,0.5156914129656875,0.2752441838655848,5.770936705262255,3.499595827085156
